number,position,marker present,correct or not,
4,2,3,1,0.664864865
4,2,3,1,
4,2,3,1,
4,2,2,1,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
11,0,2,0,
4,2,3,1,
10,0,3,0,
4,2,3,1,
7,4,1,0,
4,4,3,0,
7,4,1,0,
4,2,3,1,
4,2,3,1,
6,4,2,0,
11,1,1,0,
4,2,3,1,
4,2,2,1,
4,2,2,1,
7,1,1,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
10,0,2,0,
4,2,3,1,
10,0,2,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
10,0,2,0,
4,2,3,1,
15,0,1,0,
10,0,3,0,
4,2,3,1,
5,5,2,0,
4,6,1,0,
4,2,3,1,
4,2,3,1,
4,2,2,1,
4,2,2,1,
4,2,3,1,
7,4,1,0,
4,2,3,1,
4,2,3,1,
4,2,2,1,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,2,1,
11,0,2,0,
4,2,3,1,
4,2,2,1,
4,2,3,1,
4,2,2,1,
5,4,1,0,
4,2,3,1,
4,2,3,1,
3,7,0,0,
1,7,0,0,
2,0,3,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
11,1,1,0,
4,2,3,1,
4,2,3,1,
6,2,2,0,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
3,4,1,0,
4,2,3,1,
4,2,3,1,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
7,4,1,0,
4,2,2,1,
4,2,3,1,
11,1,1,0,
4,2,3,1,
4,2,2,1,
4,2,2,1,
12,2,1,0,
4,2,2,1,
7,4,1,0,
4,2,3,1,
8,3,2,0,
5,1,1,0,
4,2,3,1,
4,2,3,1,
15,0,1,0,
4,2,3,1,
10,0,2,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
10,0,2,0,
4,2,3,1,
4,2,3,1,
7,4,1,0,
4,2,2,1,
1,1,3,0,
6,4,1,0,
7,4,2,0,
4,2,3,1,
0,2,3,0,
4,2,3,1,
9,1,1,0,
4,2,3,1,
10,0,3,0,
10,0,3,0,
4,0,2,0,
4,2,2,1,
7,4,1,0,
12,4,1,0,
4,2,3,1,
4,2,3,1,
11,0,2,0,
4,2,3,1,
2,2,3,0,
11,0,2,0,
4,2,3,1,
4,2,3,1,
15,0,1,0,
10,0,2,0,
4,0,3,0,
4,4,3,0,
10,1,1,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,6,1,0,
4,2,3,1,
1,3,2,0,
5,1,1,0,
4,2,2,1,
4,2,2,1,
4,2,3,1,
4,2,2,1,
4,2,2,1,
4,2,2,1,
11,0,2,0,
4,2,2,1,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
8,6,1,0,
1,2,3,0,
4,2,3,1,
4,0,2,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
7,1,1,0,
4,2,3,1,
4,2,3,1,
4,2,3,1,
11,3,1,0,
4,2,3,1,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,2,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
4,2,3,1,
12,2,1,0,
